City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,17.55,66,1,7.72,AU,1704798090
1,tianchang,37.9981,114.0156,-0.99,69,8,0.61,CN,1704798090
2,anadyr,64.75,177.4833,-20.56,83,100,3.0,RU,1704798093
3,eyl,7.9803,49.8164,28.44,50,15,11.64,SO,1704798093
4,port-aux-francais,-49.35,70.2167,4.54,74,100,10.29,TF,1704798027
5,bethel,41.3712,-73.414,-0.97,89,73,1.08,US,1704798094
6,vorgashor,67.5833,63.95,-27.26,99,99,1.31,RU,1704798094
7,taishan,22.2514,112.7799,22.05,67,91,0.23,CN,1704798095
8,port saint john's,-31.6229,29.5448,23.83,75,86,2.38,ZA,1704798095
9,ta`u,-14.2336,-169.5144,28.08,77,77,2.97,AS,1704798095
10,shakawe,-18.3667,21.85,31.82,39,90,1.83,BW,1704798096
11,robore,-18.3333,-59.75,28.99,61,55,1.53,BO,1704798097
12,borogontsy,62.6683,131.1683,-48.96,100,96,1.45,RU,1704798097
13,hermanus,-34.4187,19.2345,23.82,61,39,8.93,ZA,1704798097
14,longyearbyen,78.2186,15.6401,-12.09,72,20,6.17,SJ,1704798097
15,nizhneudinsk,54.9076,99.0276,-5.2,75,100,3.08,RU,1704798098
16,zahle,33.8497,35.9042,11.89,39,39,4.59,LB,1704798098
17,ghadamis,30.1337,9.5007,12.88,31,26,1.21,LY,1704798098
18,ushuaia,-54.8,-68.3,3.81,87,75,11.32,AR,1704797993
19,qaqortoq,60.7167,-46.0333,-3.19,83,88,2.83,GL,1704798099
20,abu qurqas,27.9312,30.8384,22.07,11,29,3.99,EG,1704798099
21,namibe,-15.1961,12.1522,26.41,70,100,4.68,AO,1704798099
22,cidreira,-30.1811,-50.2056,24.31,80,40,1.47,BR,1704798100
23,edinburgh of the seven seas,-37.0676,-12.3116,18.15,98,98,8.29,SH,1704798100
24,lata,40.1629,-8.3327,8.93,82,100,0.76,PT,1704798100
25,joshimath,30.5667,79.5667,11.61,25,0,2.73,IN,1704798101
26,waitangi,-43.9535,-176.5597,14.9,91,98,9.23,NZ,1704798102
27,al mayadin,35.0209,40.4535,20.52,41,100,5.01,SY,1704798102
28,bilibino,68.0546,166.4372,-30.48,97,100,1.34,RU,1704798102
29,susuman,62.7833,148.1667,-38.9,99,99,0.45,RU,1704798103
30,ribeira brava,32.65,-17.0667,22.23,88,27,0.98,PT,1704798103
31,papatowai,-46.5619,169.4708,11.04,94,100,5.17,NZ,1704798104
32,kargat,55.1956,80.2811,-20.42,92,100,7.87,RU,1704798104
33,miyako,39.6367,141.9525,2.76,83,21,1.28,JP,1704798104
34,sisimiut,66.9395,-53.6735,-8.52,85,100,4.79,GL,1704798105
35,blackmans bay,-43.0167,147.3167,15.07,83,34,0.45,AU,1704798106
36,borgarnes,64.5383,-21.9206,6.44,92,100,8.02,IS,1704798106
37,laguna,38.421,-121.4238,8.67,78,100,2.57,US,1704797999
38,kayyerkan,69.3786,87.7439,-16.5,65,100,1.4,RU,1704797988
39,brak,27.5496,14.2714,16.1,17,0,2.4,LY,1704798107
40,punta arenas,-53.15,-70.9167,3.95,86,40,8.64,CL,1704798097
41,arvayheer,46.2639,102.775,-12.61,77,45,1.75,MN,1704798035
42,bredasdorp,-34.5322,20.0403,22.87,61,52,6.53,ZA,1704797842
43,mtambile,-5.3833,39.7,29.22,69,49,5.65,TZ,1704798108
44,mukalla,14.5425,49.1242,27.37,29,5,4.3,YE,1704798108
45,adamstown,-25.066,-130.1015,23.86,88,98,3.75,PN,1704798109
46,moyamba,8.1667,-12.4333,31.71,47,92,1.12,SL,1704798109
47,berrotaran,-32.451,-64.3887,22.71,71,6,2.36,AR,1704798109
48,college,64.8569,-147.8028,-10.82,85,100,0.0,US,1704798110
49,crane,31.3974,-102.3501,1.24,48,0,4.01,US,1704798110
50,villazon,-22.0866,-65.5942,13.61,58,69,2.03,BO,1704798110
51,nea kallikrateia,40.3167,23.0667,6.35,91,100,6.33,GR,1704798111
52,nabire,-3.3667,135.4833,25.34,90,100,0.88,ID,1704798111
53,ozd,48.2167,20.3,-0.35,27,5,3.0,HU,1704798055
54,grytviken,-54.2811,-36.5092,4.47,84,98,1.47,GS,1704798112
55,ilulissat,69.2167,-51.1,-6.99,73,75,2.57,GL,1704798112
56,invercargill,-46.4,168.35,12.79,92,100,0.89,NZ,1704798001
57,olonkinbyen,70.9221,-8.7187,1.34,94,94,6.09,SJ,1704798113
58,ribeira grande,38.5167,-28.7,18.22,82,75,12.52,PT,1704798113
59,keflavik,64.0049,-22.5624,7.24,100,100,12.86,IS,1704798114
60,qina,26.1642,32.7267,26.77,16,98,1.97,EG,1704798114
61,tiksi,71.6872,128.8694,-32.61,98,100,6.07,RU,1704797850
62,albany,42.6001,-73.9662,-2.37,91,99,1.0,US,1704798115
63,gargalianoi,37.0667,21.6333,9.64,75,100,1.84,GR,1704798116
64,sinabang,2.4803,96.3801,26.9,82,100,2.11,ID,1704798116
65,i-n-salah,27.1935,2.4607,20.16,15,3,5.49,DZ,1704798117
66,bikenibeu village,1.3673,173.1241,28.19,79,79,4.4,KI,1704798117
67,lompoc,34.6391,-120.4579,8.85,67,8,2.68,US,1704797909
68,labrador city,52.9463,-66.9114,-20.86,92,100,6.09,CA,1704798118
69,thompson,55.7435,-97.8558,-24.06,100,97,1.19,CA,1704798118
70,mogocha,53.7333,119.7667,-25.73,98,100,0.34,RU,1704797846
71,ambatolampy,-19.3833,47.4167,23.89,69,99,0.61,MG,1704798119
72,lebu,-37.6167,-73.65,12.4,81,5,7.91,CL,1704798119
73,ciudad lazaro cardenas,17.9583,-102.2,22.86,84,100,1.8,MX,1704798120
74,igarka,67.4667,86.5833,-15.77,93,100,5.49,RU,1704798121
75,port alfred,-33.5906,26.891,24.54,84,35,1.79,ZA,1704798122
76,iqaluit,63.7506,-68.5145,-23.66,86,99,6.09,CA,1704798009
77,lerwick,60.1545,-1.1494,5.0,75,86,1.55,GB,1704798123
78,hammerfest,70.6634,23.6821,-1.75,93,75,1.03,NO,1704798123
79,aasiaat,68.7098,-52.8699,-11.96,94,100,6.17,GL,1704798124
80,hawaiian paradise park,19.5933,-154.9731,23.26,93,14,1.79,US,1704798124
81,constantia,44.1833,28.65,-6.62,82,100,11.72,RO,1704798126
82,dno,57.8277,29.9637,-2.26,94,100,5.73,RU,1704798127
83,coquimbo,-29.9533,-71.3436,17.66,78,0,0.77,CL,1704798065
84,west island,-12.1568,96.8225,28.99,79,40,7.2,CC,1704798099
85,tura,25.5198,90.2201,18.49,51,0,1.49,IN,1704798128
86,khandyga,62.6667,135.6,-47.18,100,97,0.85,RU,1704798129
87,isla vista,34.4133,-119.861,11.57,56,0,0.45,US,1704798130
88,stanley,54.868,-1.6985,3.49,74,75,4.12,GB,1704798130
89,weno,7.4515,151.8468,28.07,76,100,11.71,FM,1704798130
90,vuokatti,64.146,28.2697,0.92,98,100,4.89,FI,1704798131
91,robbah,33.2797,6.9098,11.92,35,43,3.44,DZ,1704798132
92,morant bay,17.8815,-76.4093,23.17,84,34,6.52,JM,1704798132
93,pauini,-7.7136,-66.9764,23.62,97,100,0.33,BR,1704798132
94,ritchie,-29.038,24.6028,31.5,31,5,6.98,ZA,1704798134
95,polyarnyy,69.1989,33.4478,-10.02,81,100,0.78,RU,1704798028
96,colonia,50.9333,6.95,-1.08,60,0,1.54,DE,1704797703
97,el-tor,28.2364,33.6254,24.15,34,19,5.69,EG,1704798135
98,rosarito,32.3333,-117.0333,7.59,25,0,2.47,MX,1704798014
99,port mathurin,-19.6833,63.4167,28.26,68,55,2.78,MU,1704798135
100,la passe,45.5549,-0.8967,1.13,57,1,3.17,FR,1704798136
101,mbandaka,0.0487,18.2603,32.37,42,99,1.63,CD,1704798137
102,kimbe,-5.5502,150.1429,25.96,92,100,1.01,PG,1704798138
103,diok'nisi,41.6293,42.3917,4.61,99,100,1.81,GE,1704798138
104,zaozersk,69.4005,32.4476,-10.49,87,100,0.53,RU,1704798139
105,hadibu,12.65,54.0333,25.28,64,45,8.79,YE,1704798139
106,scottsburg,38.6856,-85.7702,5.99,69,100,3.13,US,1704798140
107,nchelenge,-9.3451,28.734,24.63,73,97,1.54,ZM,1704798140
108,vol'sk,52.0333,47.3833,-12.94,89,83,2.43,RU,1704798078
109,whitehorse,60.7161,-135.0538,-15.57,85,100,3.09,CA,1704797853
110,belyy yar,53.6039,91.3903,-6.06,42,0,9.0,RU,1704798143
111,myeik,12.4333,98.6,27.61,71,72,4.24,MM,1704798052
112,longquan,24.6719,102.1613,10.61,47,0,1.31,CN,1704798143
113,acapulco de juarez,16.8634,-99.8901,23.27,74,79,1.34,MX,1704798027
114,talnakh,69.4865,88.3972,-16.55,81,100,1.43,RU,1704798145
115,murzuq,25.9155,13.9184,16.34,19,0,4.33,LY,1704798145
116,iranshahr,27.2025,60.6848,22.02,10,6,2.29,IR,1704798146
117,san patricio,28.017,-97.5169,12.92,33,8,7.09,US,1704798147
118,puerto deseado,-47.7503,-65.8938,8.67,74,100,10.84,AR,1704798148
119,georgetown,5.4112,100.3354,27.19,78,40,2.57,MY,1704798008
120,praia da vitoria,38.7333,-27.0667,17.64,88,100,12.01,PT,1704798150
121,severo-yeniseyskiy,60.3725,93.0408,-17.1,90,100,5.03,RU,1704798150
122,chonchi,-42.6128,-73.8092,10.62,84,72,0.91,CL,1704798150
123,nuoro,40.3211,9.3297,7.02,79,80,2.0,IT,1704798151
124,arawa,-6.2132,155.5367,26.35,91,100,0.51,PG,1704798152
125,puerto ayora,-0.7393,-90.3518,24.75,96,92,2.68,EC,1704798152
126,juneau,58.3019,-134.4197,-5.33,97,65,2.98,US,1704798152
127,nuuk,64.1835,-51.7216,7.34,31,75,8.75,GL,1704798153
128,laojunmiao,39.8333,97.7333,-1.91,16,2,0.62,CN,1704798154
129,bontang,0.1333,117.5,27.72,80,99,2.78,ID,1704797865
130,afaahiti,-17.75,-149.2833,24.93,85,88,5.78,PF,1704798154
131,piacabucu,-10.4056,-36.4344,29.26,66,79,4.07,BR,1704798157
132,twon-brass,4.3151,6.2418,29.23,70,54,3.31,NG,1704798157
133,porvoo,60.3923,25.6651,2.28,96,100,5.64,FI,1704798158
134,kodiak,57.79,-152.4072,-0.68,80,100,4.54,US,1704798159
135,banda aceh,5.5577,95.3222,27.99,79,99,5.67,ID,1704797961
136,tereze,43.9361,42.4434,-4.01,86,45,3.99,RU,1704798159
137,maysville,38.6412,-83.7444,4.72,93,100,6.17,US,1704798160
138,fortuna,40.5982,-124.1573,10.75,93,100,3.58,US,1704798160
139,nikolayevsk-on-amure,53.1406,140.73,-27.59,96,8,1.68,RU,1704798160
140,nova sintra,14.8667,-24.7167,21.3,65,100,5.76,CV,1704798161
141,saipan,15.1355,145.701,27.76,76,1,9.28,MP,1704798161
142,yellowknife,62.456,-114.3525,-36.44,89,51,2.24,CA,1704798161
143,arraial do cabo,-22.9661,-42.0278,24.95,93,100,3.53,BR,1704798162
144,avarua,-21.2078,-159.775,26.03,78,40,6.17,CK,1704798162
145,calintaan,12.5667,120.9333,26.89,79,28,1.38,PH,1704798163
146,wailua homesteads,22.0669,-159.378,20.07,88,32,5.31,US,1704798164
147,shuangjiang,26.1547,109.7138,9.4,95,98,1.52,CN,1704798164
148,fale old settlement,-9.3852,-171.2468,29.55,69,61,5.31,TK,1704798164
149,norilsk,69.3535,88.2027,-16.43,79,100,1.32,RU,1704798165
150,katsuura,35.1333,140.3,11.1,57,0,10.16,JP,1704797930
151,pila,53.1515,16.7378,-4.55,58,1,1.38,PL,1704798067
152,makubetsu,45.3714,141.8211,-4.54,78,100,5.36,JP,1704797983
153,vilyuchinsk,52.9306,158.4028,-16.71,79,83,3.32,RU,1704798166
154,utrik,11.2278,169.8474,26.74,74,81,9.77,MH,1704798166
155,bhisho,-32.8472,27.4422,27.1,49,60,4.16,ZA,1704798167
156,santa terezinha,-29.9002,-50.0904,24.58,82,39,1.22,BR,1704798167
157,rabo de peixe,37.8,-25.5833,17.77,99,20,6.69,PT,1704798167
158,at taraf,25.3628,49.725,23.3,41,1,2.53,SA,1704798167
159,puerto natales,-51.7236,-72.4875,4.57,83,91,6.13,CL,1704798150
160,vadso,70.0744,29.7487,-4.91,80,75,3.09,NO,1704798170
161,happy valley-goose bay,53.3168,-60.3315,-13.85,68,22,4.02,CA,1704798172
162,wao,7.6833,124.6833,20.05,87,80,0.72,PH,1704798173
163,mattanur,11.9167,75.5833,26.99,89,82,0.7,IN,1704798173
164,saint-philippe,-21.3585,55.7679,29.77,76,99,4.87,RE,1704798173
165,hotan,37.0997,79.9269,4.9,26,18,2.46,CN,1704798174
166,kokpekty,48.75,82.4,-3.56,91,100,3.0,KZ,1704798174
167,sosnovo-ozerskoye,52.5249,111.5418,-16.41,91,100,3.27,RU,1704798174
168,selfoss,63.9331,-20.9971,6.69,87,100,10.68,IS,1704798175
169,jiangyou,31.7667,104.7167,13.56,47,7,1.1,CN,1704798175
170,mao,39.8885,4.2658,11.31,66,20,3.09,ES,1704797968
171,zapata,26.9073,-99.2714,9.06,29,0,2.06,US,1704798176
172,island harbour,50.724,-1.2758,3.74,77,89,3.13,GB,1704798176
173,carinhanha,-14.3047,-43.765,25.01,81,91,1.2,BR,1704798177
174,gaspe,48.8334,-64.4819,-8.31,71,75,6.94,CA,1704798177
175,castillos,-34.1667,-53.8333,21.55,70,0,2.7,UY,1704798178
176,klyuchi,52.2667,79.1667,-17.46,87,87,5.94,RU,1704798179
177,remire-montjoly,4.9167,-52.2667,25.02,100,75,1.03,GF,1704797972
178,qui nhon,13.7667,109.2333,23.33,86,28,3.74,VN,1704798180
179,saint-pierre,-21.3393,55.4781,29.82,62,0,8.23,RE,1704797974
180,new norfolk,-42.7826,147.0587,15.72,86,42,0.89,AU,1704798180
181,holualoa,19.6228,-155.9522,23.91,76,0,15.43,US,1704798181
182,petropavlovsk-kamchatsky,53.0452,158.6483,-17.53,77,84,2.68,RU,1704798183
183,atafu village,-8.5421,-172.5159,29.43,71,37,4.13,TK,1704798184
184,aykhal,66.0,111.5,-31.83,100,63,1.83,RU,1704798184
185,ocean shores,46.9737,-124.1563,8.9,83,100,10.8,US,1704798185
186,mejit,10.2753,170.8646,27.64,68,56,8.47,MH,1704798186
187,isafjordur,66.0755,-23.124,10.02,62,100,9.77,IS,1704798186
188,fort bragg,35.139,-79.006,7.33,92,100,4.63,US,1704798188
189,santiago de cao,-7.9589,-79.2392,21.07,88,40,3.09,PE,1704798188
190,taroudant,30.4703,-8.877,21.58,27,92,1.25,MA,1704798137
191,nemuro,43.3236,145.575,0.17,99,100,2.76,JP,1704798026
192,jamestown,42.097,-79.2353,2.06,79,100,5.36,US,1704798190
193,ust-nera,64.5667,143.2,-43.95,98,91,1.97,RU,1704798190
194,pervomayskoye,43.919,46.7102,8.33,75,100,3.71,RU,1704798191
195,kayenta,36.7278,-110.2546,-6.81,59,0,2.66,US,1704798191
196,safi,32.1667,-8.8333,18.21,34,86,0.9,MA,1704798192
197,mawu,29.5923,107.3139,12.05,76,100,0.52,CN,1704798193
198,port lincoln,-34.7333,135.8667,17.0,82,7,5.62,AU,1704798193
199,az zawr,29.4425,48.2747,19.45,43,93,2.88,KW,1704798193
200,san antonio de pale,-1.4014,5.6325,27.23,79,90,5.15,GQ,1704798194
201,gadzhiyevo,69.2551,33.3362,-10.37,83,100,0.96,RU,1704798194
202,kingston,17.997,-76.7936,22.91,83,42,3.13,JM,1704798023
203,dali,25.7,100.1833,8.7,48,0,2.06,CN,1704798147
204,marquette,46.5333,-87.6335,-2.2,96,100,2.24,US,1704798195
205,mount isa,-20.7333,139.5,27.87,83,100,1.03,AU,1704798022
206,zambezi,-13.5432,23.1047,26.79,62,99,2.59,ZM,1704798195
207,sanming,26.2486,117.6186,14.7,96,100,0.89,CN,1704798196
208,flying fish cove,-10.4217,105.6791,25.82,94,75,3.6,CX,1704798196
209,puerto baquerizo moreno,-0.9,-89.6,24.06,88,41,5.69,EC,1704798196
210,sarangani,5.4033,125.4636,28.35,81,64,9.13,PH,1704798197
211,cozumel,20.5083,-86.9458,26.08,85,38,7.51,MX,1704798044
212,santa elena de uairen,4.6167,-61.1333,19.34,67,17,1.74,VE,1704798197
213,meiktila,20.8667,95.8667,22.74,42,11,3.06,MM,1704798197
214,haiku-pauwela,20.9219,-156.3051,22.01,91,100,11.32,US,1704798197
215,darwin,-12.4611,130.8418,28.3,82,75,3.09,AU,1704798198
216,la'ie,21.6477,-157.9253,25.98,82,26,7.69,US,1704798199
217,marsh harbour,26.5412,-77.0636,23.08,77,100,11.44,BS,1704798199
218,mariehamn,60.0973,19.9348,2.92,75,0,4.12,AX,1704798201
219,enewetak,11.3474,162.3373,26.97,79,38,9.51,MH,1704798201
220,broken hill,-31.95,141.4333,28.29,36,0,2.14,AU,1704798134
221,hanceville,34.0607,-86.7675,9.95,93,100,7.88,US,1704798201
222,poso,-1.3959,120.7524,26.89,82,100,0.6,ID,1704798202
223,mahina,-17.5065,-149.489,25.87,83,0,1.54,PF,1704798202
224,natal,-5.795,-35.2094,28.36,78,40,2.06,BR,1704798015
225,sitka,57.0531,-135.33,1.94,75,75,2.57,US,1704798203
226,pisco,-13.7,-76.2167,22.03,83,0,2.57,PE,1704798203
227,matias romero,16.8833,-95.0333,23.01,79,33,6.93,MX,1704798205
228,ulsteinvik,62.3432,5.8487,5.97,86,99,0.89,NO,1704798205
229,luderitz,-26.6481,15.1594,22.3,62,45,9.72,NA,1704798205
230,ola,59.5833,151.2833,-22.12,84,100,2.51,RU,1704798206
231,gamba,-2.65,10.0,27.53,77,98,2.65,GA,1704798206
232,shohimardon,39.9839,71.8028,2.43,50,40,2.3,UZ,1704798207
233,san sebastian de la gomera,28.0916,-17.1133,24.65,64,0,2.06,ES,1704798207
234,biloela,-24.4167,150.5,25.13,79,100,3.34,AU,1704798207
235,ancud,-41.8697,-73.8203,10.87,74,33,0.41,CL,1704798207
236,alesund,62.4723,6.1549,5.97,88,75,3.6,NO,1704798208
237,bridgewater,44.3835,-64.5155,-7.4,83,10,3.73,CA,1704798208
238,badger,64.8,-147.5333,-11.86,83,100,0.0,US,1704798208
239,luang namtha,20.9497,101.4011,21.43,63,11,1.13,LA,1704798209
240,dunedin,-45.8742,170.5036,12.67,91,100,1.79,NZ,1704797941
241,qianzhou,28.3167,109.7167,13.3,79,61,0.72,CN,1704798209
242,luorong,24.4058,109.6086,15.37,88,99,1.96,CN,1704798209
243,tazovsky,67.4667,78.7,-19.03,97,100,3.38,RU,1704798210
244,hasaki,35.7333,140.8333,6.22,44,2,5.36,JP,1704798194
245,pandan,14.0453,124.1694,25.81,91,31,3.56,PH,1704798211
246,smithers,54.7804,-127.1743,-4.82,93,100,1.03,CA,1704798211
247,miches,18.9836,-69.0476,23.47,82,3,4.95,DO,1704798212
248,shumikha,55.2261,63.2961,-17.49,85,71,6.35,RU,1704798212
249,kerman,30.2832,57.0788,18.92,6,0,2.06,IR,1704798213
250,palikir - national government center,6.9248,158.1611,27.41,78,75,4.12,FM,1704798213
251,kutum,14.2,24.6667,26.04,12,17,3.94,SD,1704798213
252,dzhetygara,52.1908,61.2006,-15.53,89,100,3.85,KZ,1704798214
253,sebastopol,44.6,33.5333,1.58,78,100,8.83,UA,1704797965
254,turiacu,-1.6633,-45.3717,27.13,74,90,2.77,BR,1704798214
255,toma,12.7667,-2.8833,33.61,8,1,4.7,BF,1704798215
256,moussoro,13.6408,16.4901,31.09,6,63,3.4,TD,1704798216
257,ratangarh,28.0833,74.6,18.64,20,0,4.57,IN,1704798217
258,tazacorte,28.629,-17.9293,20.54,92,20,4.12,ES,1704798217
259,jabat,7.75,168.9751,27.32,73,95,9.37,MH,1704798219
260,egilsstadir,65.2653,-14.3948,0.21,93,45,4.7,IS,1704798219
261,shakhtersk,48.0625,38.5167,-8.28,77,7,5.41,UA,1704798220
262,sabzevar,36.2126,57.6819,13.71,19,63,4.03,IR,1704798220
263,kerikeri,-35.2268,173.9474,14.98,93,0,0.85,NZ,1704798220
264,jinxiang,27.4327,120.6062,12.96,85,12,1.89,CN,1704798029
265,tsiombe,-25.3,45.4833,30.99,58,26,7.29,MG,1704798221
266,opuwo,-18.0607,13.84,28.9,30,96,0.29,NA,1704798037
267,sidney,-33.8679,151.2073,23.17,79,75,4.12,AU,1704798151
268,lebanon,36.2081,-86.2911,10.27,92,75,10.8,US,1704797974
269,ennis,52.8436,-8.9864,1.96,75,75,2.06,IE,1704798223
270,det udom,14.906,105.0784,29.39,40,13,2.54,TH,1704798223
271,mary,37.0,62.5,19.79,15,80,12.98,TM,1704798224
272,dul'durga,50.6761,113.5931,-18.59,89,100,1.57,RU,1704798224
273,zayed city,24.3768,54.589,25.08,38,0,6.17,AE,1704798225
274,raja,8.4596,25.678,34.65,13,33,1.91,SS,1704798226
275,cabo san lucas,22.8909,-109.9124,17.51,63,97,0.45,MX,1704798227
276,san borja,-14.8167,-66.85,25.78,81,80,0.81,BO,1704798144
277,san luis de la loma,17.2706,-100.8939,23.61,73,100,1.16,MX,1704798228
278,minas de marcona,-15.2119,-75.1103,17.39,88,97,3.77,PE,1704798228
279,sao jose da coroa grande,-8.8978,-35.1478,28.57,69,82,4.48,BR,1704798229
280,mana,5.6592,-53.7767,25.63,86,85,3.7,GF,1704798229
281,uturoa,-16.7333,-151.4333,27.12,80,48,5.68,PF,1704798229
282,fukuecho,32.6881,128.8419,11.51,68,68,3.67,JP,1704798229
283,victorica,-36.2151,-65.4359,22.55,50,1,1.39,AR,1704798230
284,bandarbeyla,9.4942,50.8122,26.23,62,18,12.08,SO,1704798231
285,cherdyn',60.403,56.4787,-15.69,95,100,2.28,RU,1704798231
286,port elizabeth,-33.918,25.5701,25.73,70,57,1.34,ZA,1704798023
